y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0,0,26.6821939,1,1,0,0,0,2,0,7.96372092,1,1,0,1,0,0
3,0,44.4873916,1,1,0,3939,0,0,4,1.643618275,1,1,0,1,0,1
0,0,52.39410819,1,1,1,0,0,3,0,3.721424479,1,1,0,1,0,1
0,2,15.64439456,1,2,1,0,0,6,2,9.842121075,1,1,0,1,0,1
0,0,60.28183704,1,1,1,0,0,0,0,9.143108063,1,0,0,1,0,0
3,0,57.46723617,1,1,1,19629,0,5,1,9.543786521,1,1,0,1,0,1
1,0,40.56484442,1,3,1,8052,0,4,0,5.833464108,1,1,0,1,0,1
0,0,6.079386175,1,2,0,0,0,0,0,6.141861219,1,1,0,1,0,1
0,0,15.43777441,1,2,0,0,0,2,0,5.356665773,1,1,0,1,0,1
0,0,44.98852205,1,2,0,0,0,0,0,19.09451514,1,0,0,1,1,0
4,0,32.73011215,1,2,1,1712,0,2,0,6.964149227,1,0,0,1,1,1
4,1,29.02050517,1,1,1,6514,0,9,2,13.10898595,1,0,1,1,1,1
4,0,33.53407553,1,1,1,21481,1,7,0,8.550445892,1,0,0,1,1,1
0,1,44.0644103,1,2,1,0,1,0,2,10.7961201,1,1,0,1,1,1
1,0,28.51213474,1,1,1,8207,0,7,0,15.60596926,1,1,0,1,1,1
2,3,35.81659534,1,1,1,21033,1,3,3,11.02511604,1,1,0,1,1,1
2,0,42.94201193,1,2,0,4784,0,4,0,9.795251384,1,0,0,1,1,1
1,0,24.02122626,1,4,1,7367,0,5,0,6.565921196,1,0,0,1,1,1
0,0,36.85432463,1,1,1,0,0,0,2,18.06274061,1,0,1,1,1,0
0,2,65.66681636,1,1,0,0,0,0,3,8.389389786,1,1,0,1,1,0
0,1,73.75249756,1,2,1,0,0,0,1,11.7352342,1,0,1,1,1,0
0,0,17.2596692,1,2,0,0,0,2,0,13.01622084,0,0,0,1,1,0
0,0,66.27636127,1,2,1,0,0,0,0,7.929314813,1,0,0,1,1,0
2,0,26.38098334,1,1,0,8938,0,6,0,8.021734734,1,1,0,1,1,0
0,2,5,1,1,0,0,0,3,3,10.7826692,1,1,0,1,1,1
0,1,56.02343371,1,4,0,0,0,0,0,8.466695407,0,1,0,1,1,1
1,0,21.45574215,1,1,1,2659,0,1,0,11.64028647,1,0,0,1,1,1
0,0,18.26159092,1,2,1,0,0,6,0,3.308656224,1,0,0,1,0,1
0,2,15.30971101,1,2,0,0,0,2,2,4.001533681,1,0,1,1,0,1
3,1,19.24976775,1,1,1,3950,0,6,1,5.289752495,1,0,1,1,0,1
4,1,29.55307904,1,1,1,610,0,0,3,3.956354946,1,1,0,1,0,1
0,0,28.88903239,1,2,0,0,0,2,0,7.885372433,1,0,0,1,0,1
0,0,47.86751636,1,2,0,0,0,0,1,4.837440295,1,1,0,1,0,1
2,0,55.74037637,1,2,1,642,0,0,0,6.195796491,1,1,0,1,0,1
2,0,36.88058868,1,1,1,5546,0,6,0,5.392400958,1,1,0,1,0,1
0,0,52.59030103,1,1,1,0,0,1,0,7.609062152,1,1,0,1,0,1
0,0,41.99189559,1,1,1,0,1,6,0,3.633249606,1,0,0,1,0,1
0,0,29.73932651,1,1,1,0,0,2,0,6.781553581,1,1,0,1,0,1
0,0,13.00629853,1,3,0,0,0,0,0,5.755295619,1,1,0,1,0,0
0,0,54.88114357,1,1,1,0,0,2,1,9.263339705,1,1,0,1,0,0
0,0,36.35527521,1,1,0,0,0,0,0,12.03297933,1,1,0,1,0,0
0,0,28.91273969,1,2,1,0,0,0,0,7.400341849,1,1,0,1,0,0
0,0,57.41764239,1,2,1,0,0,0,0,4.24847782,1,1,0,1,0,0
1,3,36.23284041,1,1,0,3402,0,0,3,4.745572357,1,1,0,1,0,1
0,0,44.53247069,1,1,1,0,0,1,0,4.003801853,1,1,0,1,0,1
0,0,47.96260267,1,4,1,0,0,2,0,5.856571799,1,1,0,1,0,1
0,0,77.75169751,1,2,0,0,0,0,2,6.303048334,0,1,0,1,0,0
0,0,50.4878122,1,2,0,0,1,2,0,4.215617796,1,0,0,1,0,0
2,0,35.29087256,1,3,0,3460,0,0,3,4.391042715,1,1,0,1,0,1
0,0,39.34392423,1,2,1,0,0,0,0,2.236191463,1,1,0,1,0,1
0,0,38.31597633,1,1,1,0,0,0,0,4.399584934,1,1,0,1,0,1
1,0,37.19421761,1,1,1,8436,0,6,1,4.742365678,1,0,1,1,0,0
4,1,7.477324076,1,1,1,4101,0,3,1,3.7585608,1,1,0,1,0,1
0,0,49.60990068,1,1,1,0,0,0,2,8.776164745,1,0,1,1,1,0
0,0,21.67931415,1,1,1,0,0,0,0,8.043105685,1,1,0,1,1,0
0,1,40.47719497,1,1,0,0,0,0,2,6.156361143,1,1,0,1,1,1
0,0,23.26538854,1,1,0,0,0,0,0,4.830461264,1,0,0,1,1,1
0,3,22.12356145,1,1,1,0,0,0,3,5.439131081,1,1,0,1,1,0
